"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"111","344C7834 2021-08-04 18:15:00","344C7834","2021-08-04","18:15:00",7,410902.719905907,4261897.34144557,410735.517376543,411069.92243527,4261715.26829761,4262079.41459353,2021-08-04 12:15:00,1628100900
"112","344C7834 2021-08-04 18:18:00","344C7834","2021-08-04","18:18:00",6,411006.6026475,4261911.31697261,410857.696543199,411155.508751802,4261726.6203523,4262096.01359293,2021-08-04 12:18:00,1628101080
"113","344C7834 2021-08-04 18:21:00","344C7834","2021-08-04","18:21:00",7,411079.375132641,4261926.7246196,410942.165574456,411216.584690826,4261804.43709837,4262049.01214084,2021-08-04 12:21:00,1628101260
"114","344C7834 2021-08-04 18:24:00","344C7834","2021-08-04","18:24:00",5,411347.16313791,4261655.60735295,411202.878047489,411491.448228332,4261511.83943954,4261799.37526636,2021-08-04 12:24:00,1628101440
"115","344C7834 2021-08-04 18:27:00","344C7834","2021-08-04","18:27:00",5,411202.420374827,4261794.14241651,411091.546288817,411313.294460836,4261662.87186693,4261925.4129661,2021-08-04 12:27:00,1628101620
"116","344C7834 2021-08-04 18:30:00","344C7834","2021-08-04","18:30:00",5,411343.190639956,4261673.2334393,411201.161906017,411485.219373895,4261529.8231874,4261816.6436912,2021-08-04 12:30:00,1628101800
"117","344C7834 2021-08-04 18:33:00","344C7834","2021-08-04","18:33:00",5,411176.478641629,4261797.63007839,411065.029140708,411287.928142549,4261671.28365467,4261923.9765021,2021-08-04 12:33:00,1628101980
"118","344C7834 2021-08-04 18:36:00","344C7834","2021-08-04","18:36:00",5,410991.94420781,4262016.5303998,410544.781902816,411439.106512805,4261580.82442834,4262452.23637126,2021-08-04 12:36:00,1628102160
"119","344C7834 2021-08-04 18:39:00","344C7834","2021-08-04","18:39:00",3,411347.177287166,4261637.73974262,411199.57634698,411494.778227353,4261540.15513983,4261735.32434541,2021-08-04 12:39:00,1628102340
"120","344C7834 2021-08-04 18:42:00","344C7834","2021-08-04","18:42:00",5,411189.534535739,4261811.06555779,411079.640779419,411299.428292059,4261681.26391986,4261940.86719571,2021-08-04 12:42:00,1628102520
