"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"072D524C 2021-08-04 20:57:00","072D524C","2021-08-04","20:57:00",7,411216.071700673,4261789.89753667,410994.759709225,411437.383692121,4261576.83486817,4262002.96020518
"072D524C 2021-08-04 21:00:00","072D524C","2021-08-04","21:00:00",5,410737.798520842,4261840.26585817,410530.076839521,410945.520202162,4261641.06373784,4262039.4679785
"072D524C 2021-08-04 21:03:00","072D524C","2021-08-04","21:03:00",4,411043.681218491,4261661.40838035,410876.602028726,411210.760408256,4261525.5613061,4261797.25545459
"072D524C 2021-08-04 21:12:00","072D524C","2021-08-04","21:12:00",3,411476.705316035,4261220.31808135,411127.470127852,411825.940504218,4260960.32219522,4261480.31396748
"072D524C 2021-08-04 22:15:00","072D524C","2021-08-04","22:15:00",3,410995.07570637,4260976.75697536,410840.150332088,411150.001080652,4260679.12988686,4261274.38406385
"344C7834 2021-08-03 16:36:00","344C7834","2021-08-03","16:36:00",3,411319.026981933,4260967.81458747,411082.801123184,411555.252840681,4260679.57603084,4261256.05314409
"344C7834 2021-08-03 16:42:00","344C7834","2021-08-03","16:42:00",3,411281.112129935,4261324.01102927,410597.915292452,411964.308967417,4260173.05545313,4262474.96660541
"344C7834 2021-08-03 16:45:00","344C7834","2021-08-03","16:45:00",4,411589.096319106,4261189.42290795,411493.512041242,411684.680596969,4261094.99521856,4261283.85059734
"344C7834 2021-08-03 16:48:00","344C7834","2021-08-03","16:48:00",3,411564.206807135,4261165.24003079,410954.595507479,412173.818106792,4260806.24970329,4261524.2303583
"344C7834 2021-08-03 16:51:00","344C7834","2021-08-03","16:51:00",3,411569.827406672,4261180.50688857,410834.085005331,412305.569808014,4260703.29703192,4261657.71674522
"344C7834 2021-08-03 16:54:00","344C7834","2021-08-03","16:54:00",3,411436.99584373,4260958.34060661,410539.589575809,412334.40211165,4259917.07032291,4261999.61089032
"344C7834 2021-08-03 16:57:00","344C7834","2021-08-03","16:57:00",3,411434.606428996,4260950.60467338,410407.262350464,412461.950507528,4259746.12398292,4262155.08536384
"344C7834 2021-08-03 17:00:00","344C7834","2021-08-03","17:00:00",4,411526.823569491,4261186.68177271,411252.037013276,411801.610125707,4260925.70865825,4261447.65488717
